"OriginalProjectPath","RelativePath","Length","CreationTimeUtc","LastWriteTimeUtc","LastAccessTimeUtc","Attributes","Sha256","ArchiveAction","ArchiveReason","ArchiveRelativePath","ModuleAction","ModuleReason","ModuleRelativePath"
"C++","Код C++\MemoryManager\MemoryManager\MemoryManager.vcxproj","7381","2021-03-15T17:17:07.2513148Z","2016-11-09T11:03:08.0000000Z","2026-07-14T07:12:52.4524256Z","533536","94d8bb24c3fb350d53b3d7c117731bd25eb68f99f507f7add766f4738ebb1ab0","copied","tracked-original-file","projects\C++\Код C++\MemoryManager\MemoryManager\MemoryManager.vcxproj","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManager\MemoryManager\MemoryManager.vcxproj"
"C++","Код C++\MemoryManager\MemoryManager\MemoryManager.vcxproj.filters","1042","2021-03-15T17:17:07.2493187Z","2016-11-09T11:03:08.0000000Z","2026-07-14T07:12:52.4634268Z","533536","9139c7f15ca7ea926f51bcdb47460aea835676c321bc9d4849a97dcec5eae0cc","copied","tracked-original-file","projects\C++\Код C++\MemoryManager\MemoryManager\MemoryManager.vcxproj.filters","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManager\MemoryManager\MemoryManager.vcxproj.filters"
"C++","Код C++\MemoryManagerC++\.vs\MemoryManagerC++\v14\.suo","25600","2021-03-15T17:17:07.4198620Z","2016-11-09T19:28:26.0000000Z","2026-07-14T07:12:52.4754255Z","533536","f5b94bceb7b46bf61dcdf49a21de641eb4eb73dd02528ce99abd1ae38f5c848a","manifest-only","generated-file:.suo","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\Debug\MemoryManagerC++.exe","38400","2021-03-15T17:17:07.4039043Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.4784250Z","533536","9f6daf5196615c44a542fb06bce3468d46c861bfeab23c8f250fdc576f61b22c","manifest-only","executable-deliverable-held-local","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\Debug\MemoryManagerC++.ilk","312276","2021-03-15T17:17:07.4019113Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.4874263Z","533536","4ce28016792e69b977231566e83fb2279f2e2132182fdb2137f0a7f5453d6669","manifest-only","generated-file:.ilk","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\Debug\MemoryManagerC++.pdb","790528","2021-03-15T17:17:07.3989200Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.4914281Z","533536","14c3a58576bab50d03e8dfda13ffb538bc7774024d14656f11c60cbf24836dfa","manifest-only","generated-file:.pdb","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\ipch\MEMORYMANAGERC++-7b7ee99c\MEMORYMANAGERC++-d44063d9.ipch","3801088","2021-03-15T17:17:07.4108854Z","2016-11-09T19:26:45.0000000Z","2026-07-14T07:12:52.4994269Z","533536","55d20fbd235e3ac8227fe93a5752860c53a7d00c2852fb7c830b48658c161e46","manifest-only","generated-file:.ipch","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++.sln","1330","2021-03-15T17:17:07.3939333Z","2016-11-09T16:26:41.0000000Z","2026-07-14T07:12:52.5174257Z","533536","7890c99182728b1a8faf9fa2be4bae28fa80b741bf38ff1532f404159927edc0","copied","tracked-original-file","projects\C++\Код C++\MemoryManagerC++\MemoryManagerC++.sln","included-exact","historical-source-or-project-file","legacy\C++\Код C++\MemoryManagerC++\MemoryManagerC++.sln"
"C++","Код C++\MemoryManagerC++\MemoryManagerC++.VC.db","26722304","2021-03-15T17:17:07.4727208Z","2016-11-09T19:28:26.0000000Z","2026-07-14T07:12:52.5264263Z","533536","c6544b98b5280534a5cb668e41102dd36060fca4c2b6f7b4236caa7a8439bf51","manifest-only","sensitive-or-history-binary-held-local","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.log","884","2021-03-15T17:17:07.4497826Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6364284Z","533536","912c727d065464510546b4385571d751fd65179f9a8631b16e69397b25da87dd","manifest-only","generated-file:.log","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.obj","30871","2021-03-15T17:17:07.4477883Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6374273Z","533536","d07b01985ce6848939876ab506c8113e5fd072106fddede767b062bc193b919e","manifest-only","generated-file:.obj","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.pch","3407872","2021-03-15T17:17:07.4517774Z","2016-11-09T16:52:07.0000000Z","2026-07-14T07:12:52.6394278Z","533536","1d90f70a5026783417aea6f1475de2513c836ed8c228bfa89ac517f1cedb8143","manifest-only","generated-file:.pch","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\CL.command.1.tlog","1922","2021-03-15T17:17:07.4687310Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6584279Z","533536","7ca0c66736f0013ba5ec3492137d8ec2fa0c8272c26d0634955a387a1c8b5afc","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\CL.read.1.tlog","24178","2021-03-15T17:17:07.4667363Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6604253Z","533536","a7e3b86861a137f9771927db6379d67a716b98df93aa8f6c3bbc7f104ca4c072","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
"C++","Код C++\MemoryManagerC++\MemoryManagerC++\Debug\MemoryManagerC++.tlog\CL.write.1.tlog","1996","2021-03-15T17:17:07.4707263Z","2016-11-09T19:04:39.0000000Z","2026-07-14T07:12:52.6624247Z","533536","22a41edd8c46d8950fec580cca3aa8c3d013d1818880435a22da2e53be83a979","manifest-only","generated-file:.tlog","","metadata-only","generated-ide-or-build-artifact",""
