"EntryPath","ExtractedRelativePath","Length","CompressedLength","LastWriteTimeUtc","Sha256"
"FileFinder/TestFiles/49/49_1.txt","FileFinder\TestFiles\49\49_1.txt","43","32","2022-02-19T17:02:50.0000000Z","fe57788b513d2ae5277b8a59d42bd31bdfd8f484d5f84ef0f94b74d4de695040"
"FileFinder/TestFiles/49/49_2.txt","FileFinder\TestFiles\49\49_2.txt","43","32","2022-02-19T17:02:54.0000000Z","fe57788b513d2ae5277b8a59d42bd31bdfd8f484d5f84ef0f94b74d4de695040"
"FileFinder/TestFiles/49/49_3.txt","FileFinder\TestFiles\49\49_3.txt","43","32","2022-02-19T17:02:50.0000000Z","fe57788b513d2ae5277b8a59d42bd31bdfd8f484d5f84ef0f94b74d4de695040"
"FileFinder/TestFiles/49/49_4.txt","FileFinder\TestFiles\49\49_4.txt","43","32","2022-02-19T17:02:50.0000000Z","fe57788b513d2ae5277b8a59d42bd31bdfd8f484d5f84ef0f94b74d4de695040"
"FileFinder/TestFiles/49/49_5.txt","FileFinder\TestFiles\49\49_5.txt","43","32","2022-02-19T17:02:50.0000000Z","fe57788b513d2ae5277b8a59d42bd31bdfd8f484d5f84ef0f94b74d4de695040"
"FileFinder/TestFiles/50/50.txt","FileFinder\TestFiles\50\50.txt","43","32","2022-02-19T17:02:50.0000000Z","a70940a424bbb59b531c8dd3174342fc524b7c048f38eff3c460d30733f66658"
"FileFinder/TestFiles/50/50_1.txt","FileFinder\TestFiles\50\50_1.txt","43","32","2022-02-19T17:02:52.0000000Z","a70940a424bbb59b531c8dd3174342fc524b7c048f38eff3c460d30733f66658"
"FileFinder/TestFiles/50/50_2.txt","FileFinder\TestFiles\50\50_2.txt","43","32","2022-02-19T17:02:52.0000000Z","a70940a424bbb59b531c8dd3174342fc524b7c048f38eff3c460d30733f66658"
"FileFinder/TestFiles/51/51.txt","FileFinder\TestFiles\51\51.txt","43","32","2022-02-19T17:02:52.0000000Z","cef23d7feefe261bb6ea7cae637c1c9432b4ba5f19fea0e54e837ec52b49265c"
"FileFinder/TestFiles/51/51_1.txt","FileFinder\TestFiles\51\51_1.txt","43","32","2022-02-19T17:02:52.0000000Z","cef23d7feefe261bb6ea7cae637c1c9432b4ba5f19fea0e54e837ec52b49265c"
