"EntryPath","ExtractedRelativePath","Length","CompressedLength","LastWriteTimeUtc","Sha256"
"FileFinder/lab1kakN3250","FileFinder\lab1kakN3250","62768","22092","2022-03-15T23:23:34.0000000Z","8ea7b2545f35beff98e8fa017cb344174aa720e10d9b03556060af6902be6b79"
"FileFinder/lab1kakN3250.c","FileFinder\lab1kakN3250.c","19525","4632","2022-03-15T23:23:36.0000000Z","291ce03df6544d5ed402905cf7e2b7995b7f382dcaeda695585558477fb48b1d"
"FileFinder/libkakN3250.c","FileFinder\libkakN3250.c","10264","2840","2022-03-15T23:23:34.0000000Z","4fb07b8774e857b23ddae95290ada57e327966b4fa21e253b079b575a57690f0"
"FileFinder/libkakN3250.so","FileFinder\libkakN3250.so","48936","15644","2022-03-15T23:23:34.0000000Z","971eb095019130d8978b45f209dbc396fa0ac2f3c23da21ed60f98f110912f36"
"FileFinder/Makefile","FileFinder\Makefile","832","486","2022-03-15T23:23:34.0000000Z","de1f466941cc353c7f4904ad800f276602fe29ed6d41b548236b3297bcf5da82"
"FileFinder/plugin_api.h","FileFinder\plugin_api.h","3386","1203","2022-03-15T23:23:32.0000000Z","4649f289bc9eae6a0748f5cfac620c8766e1e0c771cc110e2970686812d4b9f1"
"FileFinder/structures.h","FileFinder\structures.h","2051","654","2022-03-15T23:23:32.0000000Z","587dea5853ca029dcb2b5a7790580949e1211c4598f79c1ca9c6129e44671d18"
"FileFinder/valgrind.txt","FileFinder\valgrind.txt","1751","679","2022-03-15T23:23:32.0000000Z","cd431b9923e87b535fbc7096bf76a15eebf0f3f0528d05569208875e059fe359"
